barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9780125238014,Human Factors In Transport Research,"D.J Oborne , J.A. Levis",Other,,,,,,,,978-0-12-523801-4,General,,,753
9780470308400,Experimental Psycholinguistics - An Introduction,"Sam GlucksBerg, Kent State University",Other,,,,,,,,978-0-47-030840-0,General,,,756
0534066186757,Experimental Psychology - Second Edition,Anne Myres,Other,,,,,,,Second,0-534-06618-6757,General,,,757
9780912704487,"Psychology and Work| Productivity, Change and Employment","J. Richard Hackman, Lois Wladis Hoffman, Rudolf H. Moos, Samuel H. Osipow, Lois G. Tornatzky",Other,,,,,,,,978-0-91-270448-7,General,,,731
9780470292334,The Processing of Information and Structure,Wendell R. Garner,Other,,,,,,,,978-0-47-029233-4,General,,,727
9780074517727,Pollution Control In Process Industries,S. P. Mahajan,Other,,,,,,,,978-0-07-451772-7,General,,,461
9780470812297,Contemporarary Issues in Conitive Psychology,Robert L. Solso,Other,,,,,,,,978-0-47-081229-7,General,,,734
9780470456743,Human Information processing,Barry H. KantoWitz,Other,,,,,,,,978-0-47-045674-3,General,,,723
9780470593356,Coding Processes In Human Memory,"Arthur W. Melton , Edwin Martin",Other,,,,,,,,978-0-47-059335-6,General,,,725
9780805843958,Huaman Symmetry Perception and its  Computational Analysis,Q. W. Tyler,Other,,,,,,,,978-0-80-584395-8,General,,,721
9780465067367,The Psychology of Memory,Alan D. Baddeley,Other,,,,,,,,978-0-46-506736-7,General,,,739
9780470812280,Theories in coginitive Psychology,Robert L. Solso,Other,,,,,,,,978-0-47-081228-0,General,,,729
9780470152263,Cognition and Instruction,David KlahR,Other,,,,,,,,978-0-47-015226-3,General,,,742
9780060416850,Learning Language and Memory,"John W. Donahoe, Micheal G. wessels",Other,,,,,,,,978-0-06-041685-0,General,,,728
9780030078262,Student Manual to Accompany Understanding Human Behaviour,James W. McConel,Other,,,,,,,,978-0-03-007826-2,General,,,747
9780471745006,Introduction To Human information Processing,David E. Rumelhart,Other,,,,,,,,978-0-47-174500-6,General,,,787
9780716707363,Explorations In Cognition,"Donald R. Norman, David E. Rumelhart",Other,,,,,,,,978-0-71-670736-3,General,,,735
9780256023145,Learning and Memory an Introduction,Jack A. Adams,Other,,,,,,,,978-0-25-602314-5,General,,,722
9780673150745,Foundations of Learning and Memory,"Roger M. Tarpy, Richard E. Mayer",Other,,,,,,,,978-0-67-315074-5,General,,,752
9780813819259,Aviation Psychology ,Stanley N. Roscoe,Other,,,,,,,,978-0-81-381925-9,General,,,726
9780070604483,Operations Management For Competitive Advantage,"Richard B Chase, F Robert Jacob, Nicholas J Aquilano, Nitin K Agarwal",Other,,,,,,,,978-0-07-060448-3,General,,,684
